TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
40,14,174,"03/09/11 00:00:00",1,"Buffalo Glen",7,0,"Mighty Ducks W11",36,0,0,12,3,1,3,3,0,0,2,0,0,0,11,4,0,0,3,1,1,2,0,0,0,
40,15,183,"03/11/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,15,5,2,5,0,0,3,0,0,0,0,14,0,3,5,0,2,0,4,0,0,0,
40,16,190,"03/16/11 00:00:00",1,"Buffalo Glen",7,0,"Vipers W11",43,0,0,18,5,5,2,4,0,1,1,0,0,0,12,3,3,0,0,5,1,0,0,0,0,
40,17,197,"03/18/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,11,1,4,2,0,0,0,4,0,0,0,18,3,1,2,0,5,0,7,0,0,0,
40,18,203,"03/23/11 00:00:00",1,"Buffalo Glen",8,1,"Flames W11",41,0,0,26,5,0,0,0,0,0,19,2,0,0,25,5,5,1,2,3,3,5,1,0,0,
40,19,214,"03/25/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,24,1,0,4,3,6,1,9,0,0,0,18,5,0,4,3,3,1,2,0,0,0,
40,20,216,"03/30/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,16,1,0,5,0,5,0,5,0,0,0,18,0,1,5,5,3,4,0,0,0,0,
41,1,8,"01/05/11 00:00:00",1,"Buffalo Glen",7,1,"Hurricanes W11",38,0,0,17,5,1,1,2,3,5,0,0,0,0,14,0,0,1,4,5,0,4,0,0,0,
41,2,61,"01/07/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,7,0,0,5,0,0,2,0,0,0,0,11,1,0,5,0,5,0,0,0,0,0,
41,3,67,"01/12/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,23,1,5,5,5,2,5,0,0,0,0,15,4,3,2,5,0,1,0,0,0,0,
41,4,76,"01/19/11 00:00:00",1,"Buffalo Glen",7,0,"Canucks W11",40,0,0,8,2,0,1,0,5,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,
41,5,81,"01/28/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,18,5,2,2,5,1,3,0,0,0,0,8,2,0,0,4,2,0,0,0,0,0,
41,6,94,"02/02/11 00:00:00",1,"Buffalo Glen",7,0,"Mighty Ducks W11",36,0,0,24,5,4,1,0,3,3,8,0,0,0,16,1,5,1,1,0,5,3,0,0,0,
41,7,100,"02/04/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,13,3,5,2,0,0,0,3,0,0,0,4,0,1,0,3,0,0,0,0,0,0,
41,8,106,"02/09/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,10,5,1,0,0,0,2,2,0,0,0,4,0,0,0,3,1,0,0,0,0,0,
